,HotelId,ReservationStatusDate,ArrivalDate,LeadTime,StaysInWeekendNights,StaysInWeekNights,Adults,Children,CustomerType,ADR,Meal,Country,Company,ReservedRoomType,IsRepeatedGuest,IsCanceled
10043,1,2016-12-15,2017-02-10,238,0,2,2,0,Transient,54.0,HB       ,PRT,       NULL,A               ,False,True
19043,1,2015-12-07,2016-05-27,174,2,5,2,1,Transient,108.02,BB       ,PRT,       NULL,F               ,False,True
3509,1,2015-08-24,2015-12-20,260,4,9,1,0,Transient,47.54,BB       ,PRT,       NULL,D               ,False,True
5012,1,2016-01-05,2016-04-12,168,0,2,2,0,Transient,86.0,HB       ,PRT,       NULL,A               ,False,True
17991,1,2015-11-11,2015-11-11,1,0,1,1,0,Transient,35.0,BB       ,PRT,         88,A               ,True,True
12189,1,2017-06-07,2017-06-17,145,2,3,2,0,Transient,100.8,BB       ,PRT,       NULL,E               ,False,True
12267,1,2017-06-10,2017-06-21,17,0,3,2,0,Transient,155.0,BB       ,ISR,       NULL,D               ,False,True
3932,1,2016-02-02,2016-02-08,102,1,2,2,0,Transient-Party,50.0,HB       ,PRT,       NULL,A               ,False,True
4409,1,2016-03-08,2016-03-13,25,2,2,2,0,Transient,46.4,BB       ,PRT,       NULL,D               ,False,True
11879,1,2016-10-31,2017-06-02,219,2,5,2,0,Contract,93.5,BB       ,PRT,       NULL,D               ,False,True
18359,1,2015-11-17,2016-02-07,82,2,0,2,0,Transient-Party,86.0,BB       ,PRT,       NULL,A               ,True,True
13780,1,2017-08-11,2017-08-30,98,0,3,2,0,Transient,210.0,BB       ,BRA,       NULL,D               ,False,True
10680,1,2016-12-23,2017-03-27,103,1,1,1,0,Transient,42.0,BB       ,PRT,       NULL,A               ,False,True
593,1,2015-06-01,2015-07-20,49,3,6,2,0,Transient,111.2,FB       ,PRT,       NULL,D               ,False,True
6568,1,2016-05-23,2016-06-18,81,2,1,2,0,Transient,116.0,BB       ,AUT,       NULL,A               ,False,True
8825,1,2016-09-20,2016-10-15,375,4,10,2,0,Contract,59.5,HB       ,PRT,       NULL,A               ,False,True
13712,1,2017-07-26,2017-08-27,36,2,1,2,1,Transient,244.16,BB       ,PRT,       NULL,E               ,False,True
9480,1,2016-10-26,2016-12-03,183,2,1,2,0,Transient,72.0,FB       ,PRT,       NULL,A               ,False,True
6444,1,2016-04-04,2016-06-11,227,4,6,2,0,Transient,72.0,BB       ,PRT,       NULL,A               ,False,True
11605,1,2017-05-03,2017-05-20,471,2,5,2,0,Transient,47.0,BB       ,PRT,       NULL,A               ,False,True
12011,1,2017-04-05,2017-06-08,304,2,3,1,0,Transient,74.0,HB       ,PRT,       NULL,A               ,False,True
4980,1,2015-10-16,2016-04-11,212,2,5,2,0,Transient,76.05,HB       ,PRT,       NULL,D               ,False,True
13082,1,2017-03-23,2017-07-30,359,2,5,3,1,Transient,219.0,BB       ,PRT,       NULL,H               ,False,True
26150,1,2017-07-11,2017-07-11,1,0,1,2,0,Transient,119.7,BB       ,PRT,        543,E               ,True,True
10978,1,2017-04-11,2017-04-13,86,2,3,2,0,Transient,93.94,HB       ,PRT,       NULL,D               ,False,True
11749,1,2017-05-26,2017-05-28,11,2,2,2,0,Transient,146.25,BB       ,GBR,       NULL,E               ,False,True
1796,1,2015-07-14,2015-09-15,81,0,5,2,0,Transient,103.8,BB       ,PRT,       NULL,E               ,False,True
13309,1,2017-03-10,2017-08-08,166,0,3,2,2,Transient,215.0,BB       ,PRT,       NULL,C               ,False,True
12092,1,2016-08-18,2017-06-12,298,3,7,2,0,Transient,107.1,BB       ,IRL,       NULL,E               ,False,True
14905,1,2015-04-04,2015-08-01,152,4,10,2,0,Transient,119.7,HB       ,PRT,       NULL,A               ,False,True
13401,1,2017-01-19,2017-08-13,228,4,9,2,0,Transient,207.23,HB       ,RUS,       NULL,D               ,False,True
10070,1,2016-12-15,2017-02-10,238,0,2,2,0,Transient,54.0,HB       ,PRT,       NULL,A               ,False,True
11601,1,2017-02-06,2017-05-20,104,2,5,2,0,Transient,80.0,BB       ,IRL,       NULL,A               ,False,True
10291,1,2017-02-13,2017-02-25,46,0,1,2,0,Transient,68.0,BB       ,ESP,       NULL,E               ,False,True
11386,1,2016-10-04,2017-05-05,214,0,2,2,0,Transient,54.0,BB       ,GBR,       NULL,A               ,False,True
9092,1,2016-07-25,2016-10-27,206,2,5,2,0,Transient,55.25,BB       ,IRL,       NULL,D               ,False,True
11421,1,2017-04-03,2017-05-06,33,4,8,2,2,Transient,127.83,BB       ,SVK,       NULL,C               ,False,True
15150,1,2015-06-17,2015-09-02,244,2,5,2,0,Transient-Party,8.0,BB       ,IRL,       NULL,A               ,False,True
4517,1,2015-08-15,2016-03-22,238,0,3,2,0,Transient,70.4,HB       ,PRT,       NULL,A               ,False,True
2874,1,2015-10-08,2015-11-03,26,0,4,1,0,Transient-Party,22.5,BB       ,PRT,       NULL,A               ,False,True
